,0
0,"If you’re looking for a new job, here’s the personal audit you should do https://t.co/nlpeJBl2ii #MondayVibes #Monday #mondaythoughts #Career #Careers #Jobs #jobfairy #work #workout #business #HumanResources #COVID19 #COVIDー19 #Corona #coronavirus #pandemic #Pandemie"
1,Just when you thought Gym Jordan couldn’t act a bigger fool.
2,"When draconian measures fail: Go further

SPAIN TO SET UP ""REGISTRY"" OF PEOPLE WHO REFUSE TO TAKE COVID19 VACCINE AND SHARE IT WITH EUROPEAN UNION

SOUTH AFRICA PRESIDENT BANS ALCOHOL SALES, ORDERS NEW MASK-WEARING RULES

CA GOV NEWSOME TO EXTEND STAY AT HOME ORDERS IN LA COUNTY"
3,"Nope, the 400,000 dead closed the churches. And that should be enough to stop being dumb about this virus. But love to turn a blind eye to bad things going on around you, with your knowledge."
4,"@OYCar @alchemytoday @DrEliDavid @JamesTodaroMD @ProfTimNoakes @JoannaBlythman @LukeJohnsonRCP @JordanSchachtel @jeffreyatucker @Francis_Hoar @kerpen Account for age of victims, and life years lost. Spanish flu young/middle aged. Covid19 - above life expectancy age.

Multiply Spanish flu numbers relatively....by a huge number.

Simple math."
5,"As I stated on @AriMelber @TheBeatWithAri this evening, if I was advising @POTUS @realDonaldTrump right now, I would have him invoke the Production Defense Act and mandate all capable companies produce the #COVID19 vaccine to ensure the fastest inoculation. #Disloyal #MeaCulpa https://t.co/hcINEiJ6Bv"
6,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
7,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
8,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
9,RT @rising_serpent: You just can't make this shit up. https://t.co/m8xFIWnXB8
10,"It is profoundly disrespectful for Trudeau to continue to allow flights into Canada with #COVID19 infected passengers while Canadians are forced to isolate.

It makes absolutely no sense.

#Cdnpoli @JustinTrudeau @BillBlair @PattyHajdu 
https://t.co/GzcsCBVDO1"
11,"📍RATIONING CARE has begun in Southern California w/ 0% ICU beds in many hospitals. This is from a Pasadena, CA hospital declaring to all patients that #COVID19 emergency rationing of care has begun. 

➡️ Care will be prioritized by survival likelihood. Sobering. We are now here. https://t.co/55cJT3zuUo"
12,RT @daevsday: Idc about corona this was the best year ever in life for me
13,RT @JennaEllisEsq: This is insane.
14,RT @Jim_Jordan: #COVID19 didn’t close restaurants. Government did.
15,"Lockdowns were never gonna end with the vaccine. If you allowed yourself to think that, you need to adjust your thinking on how the world works.

The System loves coronavirus. Government loves it. Fauci loves it. Cable news loves it. Pharma loves it. They ain’t letting it go."
16,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
17,RT @Jim_Jordan: #COVID19 didn’t close churches. Government did.
18,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
19,"One of the #ForceTheVote demands should be a full day of hearings exposing healthcare exec greed, congressional pay to play, &amp; the suffering experienced by millions of Americans who were in a healthcare crisis even before #COVID19 booted 15mil from their employer-based care."
20,"@vegsource Please #TakeYourNiacin

https://t.co/YULkVLcLiv"
21,@CitizenWonk This guy here has no problem with fellow Texans getting sick and dying from COVID19. The man is a murderer.
22,"When Canada’s gov puts all its faith in the communist gov of China to tell the truth about a new virus coming out of their country, it’s time for Canadians to get a new gov who will hold the Chinese gov accountable for their actions &amp; lies. #TrudeauMustGo #cdnpoli #COVID19"
23,"I often hear this complaint: ""Why doesn't the media show more film &amp; photos of patients suffering w#COVID19 ? Deniers would have a harder time claiming it's no big deal.""
But reporters &amp; cameras are blocked. And yes, it was #Trump idea:
https://t.co/f1N4Yjnd7O"
24,RT @rising_serpent: You just can't make this shit up.
25,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
26,RT @FionaKenny1: Dr Mike Ryan again saying the things that politicians should be saying and acting upon. https://t.co/IMjCxE7PDI
27,"#Haldwani
Need #Blood Type :  A-positive
At : Sushila Tiwari Hospital
Blood Component : Need Plasma from A+ve #COVID19 recovered patient.
Number of Units : 2
Primary Number : 7830616806 
Secondary Number : 8532053737
Via: @aravindan_dr
#BloodMatters
Powered by Twitter https://t.co/NKGDcrBjbu"
